ReceiptNo	Replen/Balance Order#	Cust Sys No	Allocated Part#	EDI Order Type	ShipFromCode	ShipToCode	Country	Region	Quantity	ActualPhysicalReceiptDate	PutAwayDate	Meet KPI	PutAwayDate - ActualPhysicalReceiptDate (In Mins)	Inbound KPI 
CS-TRIBWN-RC0002919	5002291598	P01-92450773587	30MKK	PNAC-IN	CSK	TRIBWN	BN	APCC	1	05/06/2024 11:12:00	05/06/2024 11:26:48	YES	14	
CS-TRIBWN-RC0002919	5002232474	P01-92450711980	YJHYD	PNAC-IN	CSK	TRIBWN	BN	APCC	1	05/06/2024 11:12:00	05/06/2024 11:26:48	YES	14	
CS-TRIBWN-RC0002919	5002232771	P01-92450711986	M51J7	PNAC-IN	CSK	TRIBWN	BN	APCC	1	05/06/2024 11:12:00	05/06/2024 11:26:48	YES	14	
CS-TRIBWN-RC0002919	5002291603	P01-92450773619	30MKK	PNAC-IN	CSK	TRIBWN	BN	APCC	1	05/06/2024 11:12:00	05/06/2024 11:26:48	YES	14	
CS-TRIBWN-RC0002920	5002243720	5002243720	MC62X	REPLEN-IN	CHSIN4	TRIBWN	BN	APCC	3	05/06/2024 11:12:00	05/06/2024 11:33:15	YES	21	
CS-TRIBWN-RC0002920	5002243298	5002243298	PXP3H	REPLEN-IN	CHSIN4	TRIBWN	BN	APCC	2	05/06/2024 11:12:00	05/06/2024 11:33:15	YES	21	
CS-TRIBWN-RC0002921	5002282070	5002282070	GC2RW	BALANCE-IN	TTHBKK	TRIBWN	BN	APCC	1	05/06/2024 11:12:00	05/06/2024 11:30:57	YES	18	
CS-TRIBWN-RC0002922	5001546847	5001546847	NMTP6	REPLEN-IN	CHSIN4	TRIBWN	BN	APCC	1	05/06/2024 11:12:00	05/06/2024 11:32:24	YES	20	
CS-TRIBWN-RC0002923	5002232459	P02-92450711980	791VG	PNAC-IN	CHSIN4	TRIBWN	BN	APCC	1	05/06/2024 11:12:00	05/06/2024 11:28:10	NO	16	
CS-TRIBWN-RC0002924	5002193902	K01-5002185603	5TWVF	REPLEN-IN	CSK	TRIBWN	BN	APCC	3	05/06/2024 11:12:00	05/06/2024 11:30:12	YES	18	
CS-TRIBWN-RC0002926	5002206086	P01-92450678489	0RCHN	PNAC-IN	CSK	TRIBWN	BN	APCC	1	05/06/2024 14:16:00	05/06/2024 14:25:14	YES	9	
CS-TRIBWN-RC0002926	5002206105	P01-92450678097	H2DXX	PNAC-IN	CSK	TRIBWN	BN	APCC	1	05/06/2024 14:16:00	05/06/2024 14:25:14	YES	9	
