ReceiptNo,Customer_Order_No,PO_No,Part,EDI_Order_Type,Ship_From,Ship_to,Country,Quantity,PutAwayDate,Dell_FY,Quarter,Month,Dell_Week,OrderType,Count_RC,Count_PO
CS-DIRKWJ-RC0000386,5003645733,5003645733,T0F5V,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-06-24 13:29:39,FY25,Q2,06,WK21,P3,1,1
CS-DIRKWJ-RC0000387,5003720569,5003720569,9GYJK,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-06-25 11:32:15,FY25,Q2,06,WK21,P3,1,1
CS-DIRKWJ-RC0000388,5003645957,5003645957,C5RNH,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-06-25 11:33:44,FY25,Q2,06,WK21,P3,2,2
CS-DIRKWJ-RC0000389,5003758075,5003758075,75X1V,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-06-26 10:33:12,FY25,Q2,06,WK21,P3,1,1
CS-DIRPUS-RC0000477,5003758765,5003758765,6KR2M,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-06-25 13:34:14,FY25,Q2,06,WK21,P3,1,1
CS-DIRPUS-RC0000478,5003645801,5003645801,781W5,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-06-25 13:35:20,FY25,Q2,06,WK21,P3,2,2
CS-DIRPUS-RC0000479,5003959091,5003959091,JHVY6,REPLEN-IN,DIRSEL,DIRPUS,KR,1,2024-06-28 09:02:51,FY25,Q2,06,WK21,P3,1,1
CS-DIRPUS-RC0000480,5003957027,5003957027,TCK3G,REPLEN-IN,DIRSEL,DIRPUS,KR,1,2024-06-28 09:03:46,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033699,5002893642,K01-5002886693,DPC2R,REPLEN-IN,CSK,DIRSEL,KR,1,2024-05-28 12:54:03,FY25,Q2,05,WK17,P3,1,1
CS-DIRSEL-RC0033700,5003282490,5003282490,9M47G,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-10 11:41:00,FY25,Q2,06,WK19,P3,2,2
CS-DIRSEL-RC0033701,5003376682,5003376682,RF8GX,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-11 11:12:54,FY25,Q2,06,WK19,P3,2,2
CS-DIRSEL-RC0033702,5003328303,5003328303,90NVT,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-11 11:46:23,FY25,Q2,06,WK19,P3,7,7
CS-DIRSEL-RC0033703,5003439504,5003439504,PRR48,REPLEN-IN,CSK,DIRSEL,KR,2,2024-06-14 11:24:00,FY25,Q2,06,WK19,P3,4,4
CS-DIRSEL-RC0033704,5003419479,P01-95451744178,YKJ71,PNAC-IN,CSK,DIRSEL,KR,1,2024-06-14 11:46:05,FY25,Q2,06,WK19,P1,2,2
CS-DIRSEL-RC0033705,5003460772,5003460772,76H59,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-17 10:20:22,FY25,Q2,06,WK20,P3,1,1
CS-DIRSEL-RC0033706,5003488338,5003488338,PRR48,REPLEN-IN,CSK,DIRSEL,KR,2,2024-06-17 11:01:21,FY25,Q2,06,WK20,P3,1,1
CS-DIRSEL-RC0033707,5003610684,5003610684,PHRDD,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-18 11:20:26,FY25,Q2,06,WK20,P3,2,2
CS-DIRSEL-RC0033708,5003598311,5003598311,HR00H,REPLEN-IN,CHSIN4,DIRSEL,KR,2,2024-06-18 13:23:24,FY25,Q2,06,WK20,P3,1,1
CS-DIRSEL-RC0033709,5003576379,P01-95451863501,G60M3,PNAC-IN,CSK,DIRSEL,KR,1,2024-06-18 13:38:06,FY25,Q2,06,WK20,P1,1,1
CS-DIRSEL-RC0033710,5003610653,5003610653,T9XYP,REPLEN-IN,CHSIN4,DIRSEL,KR,1,2024-06-18 14:51:42,FY25,Q2,06,WK20,P3,1,1
CS-DIRSEL-RC0033711,5003508213,P01-95451776432,6GHCF,PNAC-IN,CSK,DIRSEL,KR,1,2024-06-20 11:54:15,FY25,Q2,06,WK20,P1,4,4
CS-DIRSEL-RC0033712,5003558085,P01-95451854005,T82PH,PNAC-IN,CSK,DIRSEL,KR,1,2024-06-20 13:29:43,FY25,Q2,06,WK20,P1,2,2
CS-DIRSEL-RC0033713,5003646239,5003646239,F4Y1M,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-20 13:31:08,FY25,Q2,06,WK20,P3,1,1
CS-DIRSEL-RC0033714,5003660793,P01-95451933251,2G44F,PNAC-IN,CSK,DIRSEL,KR,1,2024-06-20 14:06:01,FY25,Q2,06,WK20,P1,1,1
CS-DIRSEL-RC0033715,5003702011,5003702011,R1J8J,PNAE-IN,CHSIN4,DIRSEL,KR,3,2024-06-21 11:46:48,FY25,Q2,06,WK20,P1,1,1
CS-DIRSEL-RC0033716,5003681520,5003681520,DV6DR,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-21 11:49:49,FY25,Q2,06,WK20,P3,3,3
CS-DIRSEL-RC0033717,5003703947,P01-95451972428,47JXF,PNAC-IN,CSK,DIRSEL,KR,1,2024-06-24 10:19:14,FY25,Q2,06,WK21,P1,14,14
CS-DIRSEL-RC0033718,5003730840,P02-95451999191,036Y0,PNAC-IN,CSK,DIRSEL,KR,1,2024-06-24 11:18:36,FY25,Q2,06,WK21,P1,1,1
CS-DIRSEL-RC0033719,5003738663,P01-95452002996,PRFF3,PNAC-IN,CSK,DIRSEL,KR,1,2024-06-24 11:15:29,FY25,Q2,06,WK21,P1,4,4
CS-DIRSEL-RC0033720,5003725226,5003725226,49PDM,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-24 11:40:21,FY25,Q2,06,WK21,P3,6,6
CS-DIRSEL-RC0033721,5003649367,5003649367,3TM39,BALANCE-IN,CHMAC1,DIRSEL,KR,1,2024-06-24 11:39:23,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033722,5003682336,5003682336,HV8FN,BALANCE-IN,CHHKG1,DIRSEL,KR,1,2024-06-24 11:39:40,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033736,5003782345,5003782345,9M85D,REPLEN-IN,CHSIN4,DIRSEL,KR,1,2024-06-24 15:01:15,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033737,5003777054,P01-95452036531,W1KKY,PNAC-IN,CHSIN4,DIRSEL,KR,2,2024-06-24 15:02:04,FY25,Q2,06,WK21,P1,2,2
CS-DIRSEL-RC0033738,5003763558,5003763558,D45C2,BALANCE-IN,CHHKG1,DIRSEL,KR,1,2024-06-24 15:02:49,FY25,Q2,06,WK21,P3,2,2
CS-DIRSEL-RC0033739,5003684834,5003684834,N7J1M,BALANCE-IN,CHMAC1,DIRSEL,KR,1,2024-06-24 15:23:25,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033740,5003723335,5003723335,8WXMX,BALANCE-IN,CHMAC1,DIRSEL,KR,1,2024-06-24 15:22:45,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033741,5003798877,5003798877,8VWC1,BALANCE-IN,CHTPE1,DIRSEL,KR,1,2024-06-24 15:22:00,FY25,Q2,06,WK21,P3,2,2
CS-DIRSEL-RC0033746,5003762980,5003762980,1Y65F,BALANCE-IN,CHHKG1,DIRSEL,KR,1,2024-06-24 15:23:57,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033785,5003646384,5003646384,HFCCY,REPLEN-IN,CSK,DIRSEL,KR,2,2024-06-25 10:09:45,FY25,Q2,06,WK21,P3,18,18
CS-DIRSEL-RC0033786,5003015449,P01-95451405460,T7G6Y,PNAC-IN,CSK,DIRSEL,KR,1,2024-06-25 09:47:51,FY25,Q2,06,WK21,P1,1,1
CS-DIRSEL-RC0033788,5003646411,5003646411,0Y50R,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-25 10:11:11,FY25,Q2,06,WK21,P3,6,6
CS-DIRSEL-RC0033789,5003646981,5003646981,MHYGV,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-25 10:33:20,FY25,Q2,06,WK21,P3,18,18
CS-DIRSEL-RC0033790,5003681208,5003681208,TPTGV,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-25 10:33:51,FY25,Q2,06,WK21,P3,6,6
CS-DIRSEL-RC0033791,5003721682,5003721682,9WX9N,REPLEN-IN,CSK,DIRSEL,KR,6,2024-06-25 10:34:07,FY25,Q2,06,WK21,P3,6,6
CS-DIRSEL-RC0033792,5003540121,5003540121,NXMN1,REPLEN-IN,CSK,DIRSEL,KR,2,2024-06-25 10:45:41,FY25,Q2,06,WK21,P3,19,19
CS-DIRSEL-RC0033793,5003539037,5003539037,2GGG1,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-25 11:15:12,FY25,Q2,06,WK21,P3,20,20
CS-DIRSEL-RC0033794,5003721793,5003721793,2JXKC,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-25 11:16:12,FY25,Q2,06,WK21,P3,7,7
CS-DIRSEL-RC0033795,5003540656,5003540656,216Y3,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-25 11:17:01,FY25,Q2,06,WK21,P3,2,2
CS-DIRSEL-RC0033796,5003681265,5003681265,42YRG,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-25 11:17:41,FY25,Q2,06,WK21,P3,3,3
CS-DIRSEL-RC0033797,5003722058,5003722058,841FP,REPLEN-IN,CSK,DIRSEL,KR,2,2024-06-25 11:17:59,FY25,Q2,06,WK21,P3,3,3
CS-DIRSEL-RC0033798,5003541946,5003541946,VK64R,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-25 11:26:47,FY25,Q2,06,WK21,P3,20,20
CS-DIRSEL-RC0033799,5003721995,5003721995,G4G24,REPLEN-IN,CSK,DIRSEL,KR,11,2024-06-25 11:25:38,FY25,Q2,06,WK21,P3,8,8
CS-DIRSEL-RC0033800,5003541927,5003541927,8053Y,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-25 11:45:34,FY25,Q2,06,WK21,P3,29,29
CS-DIRSEL-RC0033801,5003721857,5003721857,8RVMW,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-25 11:47:29,FY25,Q2,06,WK21,P3,6,6
CS-DIRSEL-RC0033802,5003645858,5003645858,6XW3M,REPLEN-IN,CHSIN4,DIRSEL,KR,7,2024-06-25 13:17:40,FY25,Q2,06,WK21,P3,4,4
CS-DIRSEL-RC0033803,5003645617,5003645617,KTJTY,REPLEN-IN,CHSIN4,DIRSEL,KR,1,2024-06-25 13:26:04,FY25,Q2,06,WK21,P3,3,3
CS-DIRSEL-RC0033804,5003538985,5003538985,T0DXP,REPLEN-IN,CSK,DIRSEL,KR,2,2024-06-25 13:40:55,FY25,Q2,06,WK21,P3,56,56
CS-DIRSEL-RC0033805,5003680840,5003680840,HTPJ7,REPLEN-IN,CHSIN4,DIRSEL,KR,6,2024-06-25 13:40:18,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033806,5003538195,5003538195,0VWJJ,REPLEN-IN,CSK,DIRSEL,KR,2,2024-06-25 14:08:26,FY25,Q2,06,WK21,P3,56,56
CS-DIRSEL-RC0033814,5003841318,P02-95452078979,1Y5D1,PNAC-IN,TTHBKK,DIRSEL,KR,1,2024-06-25 14:39:47,FY25,Q2,06,WK21,P1,1,1
CS-DIRSEL-RC0033815,5003808788,5003808788,0J3T5,REPLEN-IN,CHSIN4,DIRSEL,KR,1,2024-06-25 14:40:10,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033816,5003817656,P01-95452082100,W1KKY,PNAC-IN,CHSIN4,DIRSEL,KR,1,2024-06-25 14:40:41,FY25,Q2,06,WK21,P1,1,1
CS-DIRSEL-RC0033817,5003720659,5003720659,6K35K,REPLEN-IN,CHSIN4,DIRSEL,KR,1,2024-06-25 14:45:26,FY25,Q2,06,WK21,P3,6,6
CS-DIRSEL-RC0033818,5003835787,5003835787,0DPD6,REPLEN-IN,CHSIN4,DIRSEL,KR,1,2024-06-25 16:57:25,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033819,5003758365,5003758365,978PJ,REPLEN-IN,CHSIN4,DIRSEL,KR,1,2024-06-25 16:56:57,FY25,Q2,06,WK21,P3,17,17
CS-DIRSEL-RC0033871,5003882635,5003882635,5W43G,BALANCE-IN,DIRKWJ,DIRSEL,KR,1,2024-06-26 09:01:41,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033872,5003486116,5003486116,75481,REPLEN-IN,CHSIN4,DIRSEL,KR,76,2024-06-26 09:44:38,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033873,5003760285,5003760285,24DK1,REPLEN-IN,CSK,DIRSEL,KR,2,2024-06-26 09:48:39,FY25,Q2,06,WK21,P3,28,28
CS-DIRSEL-RC0033874,5003796397,5003796397,NCMPF,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-26 10:09:28,FY25,Q2,06,WK21,P3,33,33
CS-DIRSEL-RC0033875,5003534525,5003534525,965V4,REPLEN-IN,CHSIN4,DIRSEL,KR,3,2024-06-26 10:10:01,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033876,5003534199,5003534199,3PCVM,REPLEN-IN,CHSIN4,DIRSEL,KR,9,2024-06-26 10:17:59,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033877,5003534560,5003534560,G9FHC,REPLEN-IN,CHSIN4,DIRSEL,KR,2,2024-06-26 10:32:52,FY25,Q2,06,WK21,P3,7,7
CS-DIRSEL-RC0033884,5003758723,5003758723,6K35K,REPLEN-IN,CHSIN4,DIRSEL,KR,2,2024-06-26 11:30:20,FY25,Q2,06,WK21,P3,6,6
CS-DIRSEL-RC0033885,5003760201,5003760201,7CJ4M,REPLEN-IN,CSK,DIRSEL,KR,1,2024-06-26 11:32:09,FY25,Q2,06,WK21,P3,15,15
CS-DIRSEL-RC0033886,5003776792,P01-95452036330,GR10D,PNAC-IN,CSK,DIRSEL,KR,1,2024-06-26 11:32:40,FY25,Q2,06,WK21,P1,17,17
CS-DIRSEL-RC0033887,5003770031,5003770031,9M85D,REPLEN-IN,DLCHTYO001,DIRSEL,KR,1,2024-06-26 11:31:04,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033888,5003808789,5003808789,0J3T5,REPLEN-IN,CHSIN4,DIRSEL,KR,2,2024-06-26 11:30:44,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033889,5003758056,5003758056,TN78Y,REPLEN-IN,CHSIN4,DIRSEL,KR,4,2024-06-26 11:47:49,FY25,Q2,06,WK21,P3,6,6
CS-DIRSEL-RC0033890,5003742097,P01-95452007071,K5JH2,PNAC-IN,CSK,DIRSEL,KR,1,2024-06-26 11:45:56,FY25,Q2,06,WK21,P1,6,6
CS-DIRSEL-RC0033921,5003798096,5003798096,PHRDD,BALANCE-IN,CHMAC1,DIRSEL,KR,1,2024-06-26 15:06:43,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033922,5003823743,5003823743,2FTT2,REPLEN-IN,CHSIN4,DIRSEL,KR,1,2024-06-26 15:07:03,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033923,5003853753,P01-95452075822,RDH0C,PNAC-IN,CHSIN4,DIRSEL,KR,1,2024-06-26 15:06:25,FY25,Q2,06,WK21,P1,1,1
CS-DIRSEL-RC0033924,5003880022,5003880022,XNK9Y,BALANCE-IN,CHTPE1,DIRSEL,KR,1,2024-06-26 15:02:07,FY25,Q2,06,WK21,P3,2,2
CS-DIRSEL-RC0033927,5003879328,5003879328,5MCXT,BALANCE-IN,CHTPE1,DIRSEL,KR,1,2024-06-26 15:34:23,FY25,Q2,06,WK21,P3,3,3
CS-DIRSEL-RC0033928,5003880776,5003880776,4V8KD,BALANCE-IN,SHKHH1,DIRSEL,KR,1,2024-06-26 15:34:57,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033929,5003874250,5003874250,0DPD6,REPLEN-IN,CHSIN4,DIRSEL,KR,2,2024-06-26 15:34:44,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033963,5003897799,5003897799,J52K5,REPLEN-IN,DIRTAJ,DIRSEL,KR,1,2024-06-27 09:05:30,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033964,5003720442,5003720442,HM1H5,REPLEN-IN,CHSIN4,DIRSEL,KR,3,2024-06-27 09:10:01,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033965,5003720666,5003720666,M033W,REPLEN-IN,CHSIN4,DIRSEL,KR,4,2024-06-27 09:19:28,FY25,Q2,06,WK21,P3,1,1
CS-DIRSEL-RC0033966,5003874328,5003874328,0J3T5,REPLEN-IN,CHSIN4,DIRSEL,KR,4,2024-06-27 11:35:03,FY25,Q2,06,WK21,P3,1,1
