ReceiptNo,Replen_Balance_Order,Cust_Sys_No,Allocated_Part,EDI_Order_Type,ShipFromCode,ShipToCode,Country,Quantity,PutAwayDate,InventoryDate,FY,Quarter,Month,Week,OrderType,Count_PO
CS-DIRKWJ-RC0000291,829124419,829124419,KMWW8,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-07 16:55:25,2024-02-07,FY25,Q1,02,WK01,P3,1
CS-DIRKWJ-RC0000292,830538904,830538904,5G4WK,BALANCE-IN,DIRTAJ,DIRKWJ,KR,1,2024-02-08 09:21:40,2024-02-08,FY25,Q1,02,WK01,P3,1
CS-DIRKWJ-RC0000293,829122967,829122967,0878M,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-08 11:54:23,2024-02-08,FY25,Q1,02,WK01,P3,1
CS-DIRKWJ-RC0000294,829122983,829122983,24PW1,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-08 12:26:19,2024-02-08,FY25,Q1,02,WK01,P3,1
CS-DIRKWJ-RC0000295,829653540,829653540,MT0R5,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-13 13:21:15,2024-02-13,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000296,830413793,830413793,YCVFG,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-14 11:37:39,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000296,830413926,830413926,V0THP,REPLEN-IN,CHSIN4,DIRKWJ,KR,2,2024-02-14 11:37:39,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000296,830417968,830417968,753F0,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-14 11:37:39,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000296,830426167,830426167,JWV1P,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-14 11:37:39,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000297,830432611,830432611,TCW38,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-14 11:38:23,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000298,830424915,830424915,5RHVV,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-14 11:39:24,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000299,830415053,830415053,MT0R5,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-14 11:40:46,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000299,830426381,830426381,7XTY8,REPLEN-IN,CHSIN4,DIRKWJ,KR,2,2024-02-14 11:40:46,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000300,830541791,830541791,24FG6,BALANCE-IN,CHHKG1,DIRKWJ,KR,1,2024-02-14 11:41:39,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000301,831434558,831434558,KG3KD,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-15 11:29:57,2024-02-15,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000302,834151563,834151563,MV799,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-16 15:03:25,2024-02-16,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000302,834152884,834152884,75X1V,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-16 15:03:25,2024-02-16,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000303,830402242,830402242,5G4WK,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-19 16:19:21,2024-02-19,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000303,830403109,830403109,57TFT,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-19 16:19:21,2024-02-19,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000304,834151308,834151308,6KR2M,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-19 16:20:21,2024-02-19,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000305,834824201,834824201,6C11W,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-21 13:27:01,2024-02-21,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000306,834827667,834827667,7F8T0,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-21 13:28:01,2024-02-21,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000307,836995009,836995009,53KHR,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-23 16:30:30,2024-02-23,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000307,836995397,836995397,M14MK,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-23 16:30:30,2024-02-23,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000308,836968790,836968790,1YM03,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-23 16:31:54,2024-02-23,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000309,5000100186,5000100186,CY7GD,BALANCE-IN,DIRTAJ,DIRKWJ,KR,1,2024-02-27 08:58:32,2024-02-27,FY25,Q1,02,WK04,P3,1
CS-DIRKWJ-RC0000310,5000137856,5000137856,TCW38,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-06 18:03:07,2024-03-06,FY25,Q1,03,WK05,P3,1
