Cust_Sys_No	ReceiptNo	Replen_Balance_Order	Allocated_Part	EDI_Order_Type	ShipFromCode	ShipToCode	Country	Quantity	PutAwayDate	InventoryDate	FY	Quarter	Month	Week	OrderType	Count_PO
5004117977	CS-DIRSEL-RC0035050	5004117977	7YX5Y	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-16 13:10:57	2024-07-16	FY25	Q2	07	WK24	P3	1
5004155271	CS-DIRSEL-RC0035050	5004155271	FH3K2	REPLEN-IN	CHSIN4	DIRSEL	KR	4	2024-07-16 13:10:57	2024-07-16	FY25	Q2	07	WK24	P3	1
5004155342	CS-DIRSEL-RC0035052	5004155342	M3KCN	REPLEN-IN	CHSIN4	DIRSEL	KR	7	2024-07-16 13:25:59	2024-07-16	FY25	Q2	07	WK24	P3	1
5004155381	CS-DIRSEL-RC0035052	5004155381	M033W	REPLEN-IN	CHSIN4	DIRSEL	KR	4	2024-07-16 13:25:59	2024-07-16	FY25	Q2	07	WK24	P3	1
5004184417	CS-DIRSEL-RC0035051	5004184417	4M1JN	REPLEN-IN	CHSIN4	DIRSEL	KR	6	2024-07-16 13:26:26	2024-07-16	FY25	Q2	07	WK24	P3	1
5004225065	CS-DIRSEL-RC0034909	5004225065	T066T	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004225094	CS-DIRSEL-RC0034909	5004225094	YKJ71	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004225208	CS-DIRSEL-RC0034909	5004225208	5G4WK	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004225282	CS-DIRSEL-RC0034908	5004225282	NXV75	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:52:39	2024-07-15	FY25	Q2	07	WK24	P3	1
5004225318	CS-DIRSEL-RC0034909	5004225318	FJJJH	REPLEN-IN	CSK	DIRSEL	KR	27	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004225357	CS-DIRSEL-RC0034908	5004225357	PVH5J	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:52:39	2024-07-15	FY25	Q2	07	WK24	P3	1
5004225390	CS-DIRSEL-RC0034909	5004225390	JPRGP	REPLEN-IN	CSK	DIRSEL	KR	13	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004225443	CS-DIRSEL-RC0034909	5004225443	MY6T6	REPLEN-IN	CSK	DIRSEL	KR	13	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004225503	CS-DIRSEL-RC0034908	5004225503	VPF5N	REPLEN-IN	CSK	DIRSEL	KR	6	2024-07-15 09:52:39	2024-07-15	FY25	Q2	07	WK24	P3	2
5004225558	CS-DIRSEL-RC0034909	5004225558	R4T90	REPLEN-IN	CSK	DIRSEL	KR	3	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004225582	CS-DIRSEL-RC0034908	5004225582	JP3YK	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:52:39	2024-07-15	FY25	Q2	07	WK24	P3	1
5004225623	CS-DIRSEL-RC0034909	5004225623	KND83	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004225731	CS-DIRSEL-RC0034908	5004225731	H14N3	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:52:39	2024-07-15	FY25	Q2	07	WK24	P3	1
5004225740	CS-DIRSEL-RC0034909	5004225740	352NR	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004225896	CS-DIRSEL-RC0034909	5004225896	0FFD6	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004225938	CS-DIRSEL-RC0034909	5004225938	FGJ6K	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226043	CS-DIRSEL-RC0034906	5004226043	13TVG	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:51:27	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226096	CS-DIRSEL-RC0034908	5004226096	NN2GJ	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:52:39	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226110	CS-DIRSEL-RC0034906	5004226110	0WKPP	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:51:27	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226127	CS-DIRSEL-RC0034909	5004226127	FRYKM	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226199	CS-DIRSEL-RC0034909	5004226199	G2DGW	REPLEN-IN	CSK	DIRSEL	KR	5	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226211	CS-DIRSEL-RC0034909	5004226211	KG1JH	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226269	CS-DIRSEL-RC0034908	5004226269	J796W	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-15 09:52:39	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226305	CS-DIRSEL-RC0034909	5004226305	3RTPV	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226339	CS-DIRSEL-RC0034909	5004226339	282HT	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226383	CS-DIRSEL-RC0034908	5004226383	3M6GX	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:52:39	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226434	CS-DIRSEL-RC0034908	5004226434	J1R00	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:52:39	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226472	CS-DIRSEL-RC0034906	5004226472	N9NM6	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:51:27	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226502	CS-DIRSEL-RC0034909	5004226502	D4TRY	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226625	CS-DIRSEL-RC0034909	5004226625	7GN3C	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:14:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004226636	CS-DIRSEL-RC0034908	5004226636	J6HGW	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-15 09:52:39	2024-07-15	FY25	Q2	07	WK24	P3	1
5004228653	CS-DIRSEL-RC0034991	5004228653	N9YVX	BALANCE-IN	CHMAC1	DIRSEL	KR	1	2024-07-15 15:04:49	2024-07-15	FY25	Q2	07	WK24	P3	1
5004248020	CS-DIRSEL-RC0034919	5004248020	5N31T	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 11:29:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004263736	CS-DIRSEL-RC0034917	5004263736	HNX0W	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-15 11:28:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004263814	CS-DIRSEL-RC0034920	5004263814	7F8T0	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-15 11:26:47	2024-07-15	FY25	Q2	07	WK24	P3	1
5004263817	CS-DIRSEL-RC0034917	5004263817	G2G54	REPLEN-IN	CHSIN4	DIRSEL	KR	5	2024-07-15 11:28:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004263840	CS-DIRSEL-RC0034911	5004263840	6K35K	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-15 10:56:08	2024-07-15	FY25	Q2	07	WK24	P3	1
5004263855	CS-DIRSEL-RC0034917	5004263855	3V42G	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-15 11:28:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004263866	CS-DIRTAJ-RC0000787	5004263866	T2FR2	REPLEN-IN	CHSIN4	DIRTAJ	KR	11	2024-07-15 14:14:52	2024-07-15	FY25	Q2	07	WK24	P3	1
5004263903	CS-DIRSEL-RC0034917	5004263903	P2MYX	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-15 11:28:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004263905	CS-DIRSEL-RC0034917	5004263905	KTJTY	REPLEN-IN	CHSIN4	DIRSEL	KR	5	2024-07-15 11:28:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004263912	CS-DIRSEL-RC0034917	5004263912	2G6VY	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-15 11:28:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004263917	CS-DIRTAJ-RC0000787	5004263917	TC67C	REPLEN-IN	CHSIN4	DIRTAJ	KR	1	2024-07-15 14:14:52	2024-07-15	FY25	Q2	07	WK24	P3	1
5004263918	CS-DIRSEL-RC0034911	5004263918	6J65H	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-15 10:56:08	2024-07-15	FY25	Q2	07	WK24	P3	1
5004263933	CS-DIRSEL-RC0034917	5004263933	D8NGG	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-15 11:28:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004263978	CS-DIRSEL-RC0035369	5004263978	6D2HW	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-19 11:28:15	2024-07-19	FY25	Q2	07	WK24	P3	1
5004263996	CS-DIRSEL-RC0034917	5004263996	C5HD0	REPLEN-IN	CHSIN4	DIRSEL	KR	4	2024-07-15 11:28:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264001	CS-DIRSEL-RC0034911	5004264001	0X1C3	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-15 10:56:08	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264033	CS-DIRSEL-RC0034917	5004264033	1W7HC	REPLEN-IN	CHSIN4	DIRSEL	KR	9	2024-07-15 11:28:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264035	CS-DIRSEL-RC0034917	5004264035	C5N22	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-15 11:28:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264060	CS-DIRSEL-RC0034911	5004264060	P8XPW	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-15 10:56:08	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264061	CS-DIRSEL-RC0034917	5004264061	F7FV9	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-15 11:28:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264102	CS-DIRSEL-RC0034911	5004264102	DYMD0	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-15 10:56:08	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264187	CS-DIRSEL-RC0034907	5004264187	MWGD4	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:51:58	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264206	CS-DIRSEL-RC0034910	5004264206	8073V	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:15:18	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264279	CS-DIRSEL-RC0034913	5004264279	PJDGF	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-15 10:57:56	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264308	CS-DIRSEL-RC0034907	5004264308	N50PN	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:51:58	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264314	CS-DIRSEL-RC0034907	5004264314	2216Y	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:51:58	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264408	CS-DIRSEL-RC0034910	5004264408	4P5MX	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:15:18	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264465	CS-DIRSEL-RC0034910	5004264465	0N7RN	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:15:18	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264593	CS-DIRSEL-RC0034919	5004264593	098J9	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 11:29:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264675	CS-DIRSEL-RC0034907	5004264675	3TGRX	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:51:58	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264679	CS-DIRSEL-RC0034910	5004264679	NYW87	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:15:18	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264755	CS-DIRSEL-RC0034910	5004264755	P9TCN	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:15:18	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264760	CS-DIRSEL-RC0034907	5004264760	6N10C	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:51:58	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264769	CS-DIRSEL-RC0034910	5004264769	111PX	REPLEN-IN	CSK	DIRSEL	KR	4	2024-07-15 10:15:18	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264776	CS-DIRSEL-RC0034907	5004264776	FT8V4	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-15 09:51:58	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264804	CS-DIRSEL-RC0034907	5004264804	5W7GP	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:51:58	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264879	CS-DIRSEL-RC0034919	5004264879	DY62R	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 11:29:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264881	CS-DIRSEL-RC0034919	5004264881	49PDM	REPLEN-IN	CSK	DIRSEL	KR	2	2024-07-15 11:29:12	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264923	CS-DIRSEL-RC0034907	5004264923	H6HFK	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:51:58	2024-07-15	FY25	Q2	07	WK24	P3	1
5004264959	CS-DIRSEL-RC0034910	5004264959	DNP4M	REPLEN-IN	CSK	DIRSEL	KR	6	2024-07-15 10:15:18	2024-07-15	FY25	Q2	07	WK24	P3	1
5004265009	CS-DIRSEL-RC0034913	5004265009	FDJGN	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:57:56	2024-07-15	FY25	Q2	07	WK24	P3	1
5004265020	CS-DIRSEL-RC0034913	5004265020	NK5PH	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:57:56	2024-07-15	FY25	Q2	07	WK24	P3	1
5004265076	CS-DIRSEL-RC0034910	5004265076	2DTKK	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:15:18	2024-07-15	FY25	Q2	07	WK24	P3	1
5004265120	CS-DIRSEL-RC0034907	5004265120	169WD	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 09:51:58	2024-07-15	FY25	Q2	07	WK24	P3	1
5004265151	CS-DIRSEL-RC0034913	5004265151	CC9WN	REPLEN-IN	CSK	DIRSEL	KR	1	2024-07-15 10:57:56	2024-07-15	FY25	Q2	07	WK24	P3	1
