ReceiptNo	Replen_Balance_Order	Cust_Sys_No	Allocated_Part	EDI_Order_Type	ShipFromCode	ShipToCode	Country	Quantity	PutAwayDate	InventoryDate	FY	Quarter	Month	Week	OrderType	Count_PO
CS-DIRKWJ-RC0000394	5004079571	5004079571	C5HD0	REPLEN-IN	CHSIN4	DIRKWJ	KR	1	2024-07-08 13:48:16	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRKWJ-RC0000395	5004156657	5004156657	7DWXY	REPLEN-IN	CSK	DIRKWJ	KR	1	2024-07-09 14:01:33	2024-07-09	FY25	Q2	07	WK23	P3	1
CS-DIRKWJ-RC0000396	5004118295	5004118295	0VTXM	REPLEN-IN	CHSIN4	DIRKWJ	KR	1	2024-07-11 14:00:04	2024-07-11	FY25	Q2	07	WK23	P3	1
CS-DIRKWJ-RC0000397	5004155113	5004155113	1W7HC	REPLEN-IN	CHSIN4	DIRKWJ	KR	2	2024-07-11 14:01:28	2024-07-11	FY25	Q2	07	WK23	P3	1
CS-DIRKWJ-RC0000398	5004184398	5004184398	1W7HC	REPLEN-IN	CHSIN4	DIRKWJ	KR	1	2024-07-12 14:19:51	2024-07-12	FY25	Q2	07	WK23	P3	1
CS-DIRPUS-RC0000488	5004118374	5004118374	KTJTY	REPLEN-IN	CHSIN4	DIRPUS	KR	1	2024-07-09 14:43:58	2024-07-09	FY25	Q2	07	WK23	P3	1
CS-DIRPUS-RC0000489	5004155420	5004155420	Y62YC	REPLEN-IN	CHSIN4	DIRPUS	KR	1	2024-07-10 13:48:41	2024-07-10	FY25	Q2	07	WK23	P3	1
CS-DIRPUS-RC0000490	5004314333	5004314333	7DWXY	BALANCE-IN	DIRKWJ	DIRPUS	KR	1	2024-07-11 09:03:51	2024-07-11	FY25	Q2	07	WK23	P3	1
CS-DIRPUS-RC0000491	5004317864	5004317864	216NK	BALANCE-IN	DIRKWJ	DIRPUS	KR	1	2024-07-11 09:04:55	2024-07-11	FY25	Q2	07	WK23	P3	1
CS-DIRPUS-RC0000492	5004319431	5004319431	5PG5C	REPLEN-IN	DIRSEL	DIRPUS	KR	1	2024-07-11 09:07:26	2024-07-11	FY25	Q2	07	WK23	P3	1
CS-DIRPUS-RC0000493	5004155323	5004155323	5TP8Y	REPLEN-IN	CHSIN4	DIRPUS	KR	1	2024-07-11 15:25:27	2024-07-11	FY25	Q2	07	WK23	P3	1
CS-DIRPUS-RC0000494	5004155292	5004155292	3KDWX	REPLEN-IN	CHSIN4	DIRPUS	KR	1	2024-07-11 15:28:31	2024-07-11	FY25	Q2	07	WK23	P3	1
CS-DIRPUS-RC0000495	5004319832	5004319832	4X82T	BALANCE-IN	SHKHH1	DIRPUS	KR	1	2024-07-12 16:23:36	2024-07-12	FY25	Q2	07	WK23	P3	1
CS-DIRPUS-RC0000496	5004317324	5004317324	NG8NP	BALANCE-IN	CHTPE1	DIRPUS	KR	1	2024-07-12 16:26:52	2024-07-12	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034516	5004062503	5004062503	93D93	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 09:20:58	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034517	5003933059	5003933059	8HTF1	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-08 09:31:45	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034517	5003933168	5003933168	G8VCF	REPLEN-IN	CHSIN4	DIRSEL	KR	3	2024-07-08 09:31:45	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034517	5003933190	5003933190	M59JH	REPLEN-IN	CHSIN4	DIRSEL	KR	6	2024-07-08 09:31:45	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034517	5003933522	5003933522	R05P0	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-08 09:31:45	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034517	5003933652	5003933652	DGV24	REPLEN-IN	CHSIN4	DIRSEL	KR	2	2024-07-08 09:31:45	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034517	5003933688	5003933688	M7R96	REPLEN-IN	CHSIN4	DIRSEL	KR	1	2024-07-08 09:31:45	2024-07-08	FY25	Q2	07	WK23	P3	1
CS-DIRSEL-RC0034517	5003950423	5003950423	M59JH	REPLEN-IN	CHSIN4	DIRSEL	KR	6	2024-07-08 09:31:45	2024-07-08	FY25	Q2	07	WK23	P3	1
