ReceiptNo	Replen/Balance Order#	Cust Sys No	Allocated Part#	EDI Order Type	ShipFromCode	ShipToCode	Country	Region	Quantity	ActualPhysicalReceiptDate	PutAwayDate	Meet KPI	PutAwayDate - ActualPhysicalReceiptDate (In Mins)	Inbound KPI 
CS-TTHHDY-RC0001562	5004119025	5004119025	53JTT	REPLEN-IN	CSK	TTHHDY	TH	APCC	1	07/08/2024 09:16:20	07/08/2024 09:20:30	YES	4	
CS-TTHHDY-RC0001562	5004119127	5004119127	4G95M	REPLEN-IN	CSK	TTHHDY	TH	APCC	1	07/08/2024 09:16:20	07/08/2024 09:20:30	YES	4	
CS-TTHHDY-RC0001562	5004119429	5004119429	4WDC9	REPLEN-IN	CSK	TTHHDY	TH	APCC	1	07/08/2024 09:16:20	07/08/2024 09:20:30	YES	4	
CS-TTHHDY-RC0001563	5004081636	5004081636	20M3P	REPLEN-IN	CSK	TTHHDY	TH	APCC	1	07/08/2024 09:18:35	07/08/2024 09:19:45	YES	1	
CS-TTHHDY-RC0001563	5004081259	5004081259	4VHC5	REPLEN-IN	CSK	TTHHDY	TH	APCC	1	07/08/2024 09:18:35	07/08/2024 09:19:45	YES	1	
CS-TTHHDY-RC0001563	5004080740	5004080740	WVVD3	REPLEN-IN	CSK	TTHHDY	TH	APCC	1	07/08/2024 09:18:35	07/08/2024 09:19:45	YES	1	
CS-TTHHDY-RC0001563	5004081400	5004081400	0RCHN	REPLEN-IN	CSK	TTHHDY	TH	APCC	1	07/08/2024 09:18:35	07/08/2024 09:19:45	YES	1	
CS-DIRSEL-RC0034516	5004062503	5004062503	93D93	REPLEN-IN	CHSIN4	DIRSEL	KR	APCC	1	07/08/2024 09:00:19	07/08/2024 09:20:58	YES	20	
CS-DIRSEL-RC0034517	5003950423	5003950423	M59JH	REPLEN-IN	CHSIN4	DIRSEL	KR	APCC	6	07/08/2024 09:00:15	07/08/2024 09:31:45	YES	31	
CS-DIRSEL-RC0034517	5003933652	5003933652	DGV24	REPLEN-IN	CHSIN4	DIRSEL	KR	APCC	2	07/08/2024 09:00:15	07/08/2024 09:31:45	YES	31	
CS-DIRSEL-RC0034517	5003933190	5003933190	M59JH	REPLEN-IN	CHSIN4	DIRSEL	KR	APCC	6	07/08/2024 09:00:15	07/08/2024 09:31:45	YES	31	
CS-DIRSEL-RC0034517	5003933522	5003933522	R05P0	REPLEN-IN	CHSIN4	DIRSEL	KR	APCC	2	07/08/2024 09:00:15	07/08/2024 09:31:45	YES	31	
CS-DIRSEL-RC0034517	5003933059	5003933059	8HTF1	REPLEN-IN	CHSIN4	DIRSEL	KR	APCC	2	07/08/2024 09:00:15	07/08/2024 09:31:45	YES	31	
CS-DIRSEL-RC0034517	5003933688	5003933688	M7R96	REPLEN-IN	CHSIN4	DIRSEL	KR	APCC	1	07/08/2024 09:00:15	07/08/2024 09:31:45	YES	31	
CS-DIRSEL-RC0034517	5003933168	5003933168	G8VCF	REPLEN-IN	CHSIN4	DIRSEL	KR	APCC	3	07/08/2024 09:00:15	07/08/2024 09:31:45	YES	31	
CS-DIRSEL-RC0034517	5003950855	5003950855	JHVY6	REPLEN-IN	CHSIN4	DIRSEL	KR	APCC	1	07/08/2024 09:00:15	07/08/2024 09:31:45	YES	31	
CS-TTHHDY-RC0001564	5004191779	P03-93452445933	PKF4F	PNAC-IN	TTHBKK	TTHHDY	TH	APCC	1	07/08/2024 10:02:33	07/08/2024 10:17:44	NO	15	
CS-TTHHDY-RC0001564	5004191777	P01-93452445933	38P2K	PNAC-IN	TTHBKK	TTHHDY	TH	APCC	1	07/08/2024 10:02:33	07/08/2024 10:17:44	NO	15	
CS-TTHHDY-RC0001564	5004191778	P02-93452445933	XVV0P	PNAC-IN	TTHBKK	TTHHDY	TH	APCC	1	07/08/2024 10:02:33	07/08/2024 10:17:44	NO	15	
CS-TTHPHS-RC0000079	5004118605	5004118605	T2FR2	REPLEN-IN	CHSIN4	TTHPHS	TH	APCC	1	07/08/2024 10:09:27	07/08/2024 10:09:17	YES	0	
CS-DIRSEL-RC0034518	5004094296	P01-95452344332	RNMK1	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004059914	P01-95452314086	J5RTR	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004097976	P01-95452348139	MN3NW	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004062687	P01-95452116125	8WW77	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004094297	P02-95452344332	JK0TP	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004091078	P01-95452342950	HT5F6	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004059915	P02-95452314086	TNW0H	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004093678	P01-95452343743	1HH9M	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004096635	P02-95452346352	GR86K	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004097637	P01-95452346678	6NRX4	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004091077	P01-95452342922	3RWD8	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004093239	P01-95452343157	VJYJ1	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004098554	P01-95452349294	T9D8M	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004098605	P01-95452348809	YM3YC	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004062818	P01-95452316020	P8MXW	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004062688	P01-95452268334	8WW77	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004062666	P01-95452116680	8WW77	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004064671	P01-95452317382	PXH98	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004062685	P01-95452116234	8WW77	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004062686	P01-95452115981	8WW77	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034518	5004096634	P01-95452346352	NG7N9	PNAC-IN	CSK	DIRSEL	KR	APCC	1	07/08/2024 10:16:18	07/08/2024 10:28:22	YES	12	
CS-DIRSEL-RC0034519	5004080368	5004080368	53KHR	REPLEN-IN	CHSIN4	DIRSEL	KR	APCC	1	07/08/2024 10:18:23	07/08/2024 10:27:36	YES	9	
CS-DIRSEL-RC0034519	5004080336	5004080336	WTM1Y	REPLEN-IN	CHSIN4	DIRSEL	KR	APCC	1	07/08/2024 10:18:23	07/08/2024 10:27:36	YES	9	
CS-DIRSEL-RC0034519	5004042270	5004042270	6J65H	REPLEN-IN	CHSIN4	DIRSEL	KR	APCC	1	07/08/2024 10:18:23	07/08/2024 10:27:36	YES	9	
